bowler,phase,runs,balls,wickets,economy,bowling_sr,econ_bayes,impact_score,last_year
RN ten Doeschate,middle,78,72,3,6.5,24.0,7.266987075708545,5.077757757867236,2015
RP Meredith,middle,203,150,5,8.12,30.0,7.797929128157047,13.144515462430821,2023
RP Singh,middle,330,246,10,8.048780487804878,24.6,7.828311902980004,52.37399902831225,2013
RR Powar,middle,318,270,7,7.066666666666666,38.57142857142857,7.269431288632648,27.636274699253466,2012
RR Raje,middle,134,96,6,8.375,16.0,7.822287110701655,18.869161654533077,2009
RS Bopara,middle,215,164,11,7.865853658536586,14.909090909090908,7.694388716474044,64.47555722494586,2015
RV Gomez,middle,104,84,4,7.428571428571429,21.0,7.51356827675334,8.730871615682739,2011
Ramandeep Singh,middle,34,24,2,8.5,12.0,7.654271914220006,2.142594381776834,2026
Rashid Khan,middle,2784,2445,116,6.831901840490798,21.07758620689655,6.884956647429615,8013.064253730146,2026
Rasikh Salam,middle,228,138,8,9.91304347826087,17.25,8.529386033676222,30.76423073876325,2026
Ravi Bishnoi,middle,1812,1374,60,7.9126637554585155,22.9,7.867613479422677,1876.0453902068257,2026
S Aravind,middle,264,186,11,8.516129032258064,16.90909090909091,8.021746848331185,61.84438494256482,2017
S Badree,middle,128,96,4,8.0,24.0,7.698575770495469,8.521056615615809,2017
S Dhawan,middle,40,30,3,8.0,10.0,7.610157996507473,4.848782379673918,2012
S Dube,middle,176,102,3,10.352941176470589,34.0,8.512745956950106,4.334676517613396,2026
S Gopal,middle,1136,822,39,8.291970802919709,21.076923076923077,8.149739969728792,765.1900579850679,2024
S Kaul,middle,597,444,16,8.067567567567567,27.75,7.909680045718592,132.69816148481692,2022
S Kaushik,middle,199,162,6,7.37037037037037,27.0,7.468586972588744,19.76277447684849,2017
S Ladda,middle,121,84,1,8.642857142857142,84.0,7.879159674602802,0.5203600598697964,2016
S Lamichhane,middle,141,108,8,7.833333333333334,13.5,7.6511074231491145,34.295688909828286,2019
S Nadeem,middle,1185,1001,38,7.102897102897103,26.342105263157894,7.175824037804499,825.0481016270005,2021
S Randiv,middle,171,144,5,7.125,28.8,7.369573891487262,13.908538201699795,2011
S Sandeep Warrier,middle,43,30,0,8.6,999.0,7.690157996507473,0.0,2024
S Sreesanth,middle,213,174,5,7.344827586206896,34.8,7.453348371854151,13.75220838825508,2013
S Tyagi,middle,35,30,1,7.0,30.0,7.476824663174139,0.5483611271766035,2010
SB Bangar,middle,144,108,3,8.0,36.0,7.710513363743174,4.785673567925235,2008
SB Jakati,middle,1097,858,37,7.671328671328672,23.18918918918919,7.648894158797893,733.8184949969458,2017
SB Joshi,middle,69,48,0,8.625,999.0,7.7624919720748204,0.0,2008
SB Styris,middle,115,108,1,6.388888888888889,108.0,7.136255938000599,0.5745309635221292,2011
SC Ganguly,middle,301,246,12,7.341463414634147,20.5,7.433754079850752,79.42151349885029,2012
SD Chitnis,middle,40,24,1,10.0,24.0,7.818655475863842,0.5243868351351052,2008
SE Bond,middle,42,42,3,6.0,14.0,7.275466452380512,5.071839756463508,2010
SE Rutherford,middle,53,36,1,8.833333333333334,36.0,7.750153892702084,0.5290217532145725,2019
SH Johnson,middle,75,36,1,12.5,36.0,8.321582464130655,0.4926947509890862,2025
SJ Srivastava,middle,137,96,4,8.5625,24.0,7.884142780804748,8.320498730656434,2011
SK Raina,middle,848,713,20,7.1360448807854135,35.65,7.2249840850376446,226.99011938258892,2019
SK Trivedi,middle,1233,1074,41,6.888268156424581,26.195121951219512,6.9899807322412775,985.9969954151943,2013
SK Warne,middle,1050,942,41,6.687898089171974,22.975609756097562,6.835783244691453,1008.2385226816958,2011
SL Malinga,middle,707,600,26,7.069999999999999,23.076923076923077,7.187780565049285,385.5988611389941,2019
SM Curran,middle,504,294,15,10.285714285714285,19.6,9.19485797385313,100.32781393940594,2025
SM Pollock,middle,86,66,4,7.818181818181818,16.5,7.617952295839776,8.61123796165338,2008
SMSM Senanayake,middle,66,42,3,9.428571428571429,14.0,7.883061389089373,4.680922572932364,2013
SN Thakur,middle,947,705,34,8.059574468085106,20.735294117647058,7.949206165793536,596.2356367601978,2026
SP Narine,middle,2732,2478,101,6.61501210653753,24.534653465346533,6.683234399257083,6258.062713564142,2026
SR Tendulkar,middle,39,30,0,7.800000000000001,999.0,7.583491329840807,0.0,2009
SR Watson,middle,750,618,17,7.281553398058252,36.35294117647059,7.345984685380297,161.2990022097573,2018
ST Jayasuriya,middle,285,228,12,7.5,19.0,7.523133686085536,78.47793547680514,2010
STR Binny,middle,460,378,17,7.301587301587302,22.235294117647058,7.386187694963668,160.42105195998928,2019
SW Tait,middle,127,95,4,8.021052631578947,23.75,7.704432928324763,8.514578634181703,2013
Sakib Hussain,middle,79,48,3,9.875,16.0,8.009405552321734,4.607083479410475,2026
Sandeep Sharma,middle,826,630,29,7.866666666666667,21.724137931034484,7.791861271774765,442.52584584512505,2026
Shahbaz Ahmed,middle,653,405,15,9.674074074074074,27.0,8.983809248690303,102.68472698643794,2026
Shahid Afridi,middle,149,120,6,7.45,20.0,7.512017616552957,19.648516222161,2008
Shakib Al Hasan,middle,960,840,38,6.857142857142857,22.105263157894736,6.987715506487132,847.2583055941134,2021
Shashank Singh,middle,58,48,4,7.25,12.0,7.490887033803216,8.757307339434547,2026
Shivam Mavi,middle,180,162,9,6.666666666666667,18.0,7.149259241496307,46.452365032785266,2022
Shivam Sharma,middle,127,90,4,8.466666666666667,22.5,7.839598418295374,8.367775554282018,2015
Shivang Kumar,middle,209,132,7,9.5,18.857142857142858,8.337264676495968,24.096632144397187,2026
Shoaib Ahmed,middle,74,66,4,6.727272727272727,16.5,7.342090226874258,8.934785323106528,2009
