batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
DB Das,middle,129,111,116.21621621621621,122.30351083911349,13575.689703141597,2013
DB Ravi Teja,middle,153,137,111.67883211678833,119.95444071315882,16433.758377702758,2013
DH Yagnik,middle,73,60,121.66666666666666,124.8034286932107,7488.2057215926425,2013
DJ Bravo,middle,527,570,92.45614035087719,100.94754812649506,57540.10243210218,2022
DJ Harris,middle,54,37,145.94594594594594,128.9865272274514,4772.501507415702,2012
DJ Hooda,middle,865,688,125.7267441860465,125.73598450370184,86506.35733854686,2025
DJ Hussey,middle,778,726,107.16253443526172,111.10192651114954,80659.99864709457,2014
DJ Malan,middle,25,24,104.16666666666667,123.40125258798507,2961.6300621116416,2021
DJ Mitchell,middle,208,151,137.74834437086093,130.99674658025643,19780.50873361872,2024
DJ Thornely,middle,35,33,106.06060606060606,122.91611542442425,4056.2318090060003,2008
DJ Willey,middle,23,29,79.3103448275862,119.75390319986039,3472.8631927959514,2023
DJG Sammy,middle,151,140,107.85714285714285,118.28320691572756,16559.64896820186,2015
DJM Short,middle,65,39,166.66666666666669,132.58493297764414,5170.812386128122,2018
DL Chahar,middle,61,39,156.4102564102564,130.87553126824244,5104.145719461455,2026
DL Vettori,middle,47,53,88.67924528301887,117.842235148261,6245.638462857833,2012
DP Conway,middle,520,341,152.4926686217009,142.7702879044193,48684.66817540698,2025
DPMD Jayawardene,middle,823,727,113.20495185694635,115.86211964942379,84231.7609851311,2013
DR Smith,middle,1003,675,148.59259259259258,143.47686703076866,96846.88524576885,2017
DT Christian,middle,147,166,88.55421686746988,108.65616154229565,18036.922816021077,2021
Dhruv Jurel,middle,382,285,134.03508771929825,130.6768214932682,37242.894125581435,2026
E Lewis,middle,202,170,118.82352941176471,122.53390223772254,20830.76338041283,2022
EJG Morgan,middle,714,641,111.38845553822152,114.74267262771379,73550.05315436453,2021
F du Plessis,middle,1920,1522,126.14980289093299,126.1065080470406,191934.1052475958,2025
FY Fazal,middle,69,62,111.29032258064515,122.2757755516293,7581.098084201016,2011
G Gambhir,middle,1665,1347,123.60801781737194,123.88124145056338,166868.03223390886,2018
GC Smith,middle,291,239,121.75732217573221,123.5596182414026,29530.748759695223,2011
GD Phillips,middle,52,51,101.96078431372548,120.83282242588913,6162.473943720346,2026
GH Vihari,middle,145,161,90.06211180124224,109.62043347406947,17648.889789325185,2015
GJ Bailey,middle,205,229,89.51965065502183,106.1907413131338,24317.67976070764,2016
