batter,phase,runs,balls,strike_rate,sr_bayes,impact_score,last_year
KP Pietersen,death,123,69,178.26086956521738,162.57682313980348,11217.80079664644,2014
KS Williamson,death,457,275,166.1818181818182,162.38357725299602,44655.4837445739,2022
KV Sharma,death,248,181,137.01657458563537,147.3943651832663,26678.3800981712,2025
KW Richardson,death,17,21,80.95238095238095,149.63093198568572,3142.2495716994,2016
Kartik Tyagi,death,20,23,86.95652173913044,149.63431793077118,3441.589312407737,2026
Kuldeep Yadav,death,187,209,89.47368421052632,122.0799042299706,25514.699984063853,2026
L Balaji,death,35,45,77.77777777777779,142.16783878711715,6397.552745420272,2014
LA Pomersbach,death,67,49,136.73469387755102,152.95197257749228,7494.646656297122,2013
LH Ferguson,death,68,46,147.82608695652172,155.27087680044863,7142.460332820637,2025
LJ Wright,death,80,36,222.22222222222223,167.18736497362823,6018.745139050617,2013
LMP Simmons,death,56,36,155.55555555555557,156.79775458401784,5644.719165024642,2015
LR Shukla,death,219,164,133.53658536585365,146.29604821422876,23992.55190713352,2014
LRPL Taylor,death,305,196,155.6122448979592,156.31785500999518,30638.299581959058,2014
LS Livingstone,death,334,156,214.1025641025641,182.39396384304308,28453.45835951472,2026
Lalit Yadav,death,89,77,115.5844155844156,145.29515187098573,11187.726694065901,2024
M Ashwin,death,30,37,81.08108108108108,144.91500564184534,5361.855208748278,2022
M Jansen,death,118,108,109.25925925925925,140.000928412238,15120.100268521704,2026
M Kaif,death,54,45,120.0,150.08450545378383,6753.802745420273,2012
M Kartik,death,78,76,102.63157894736842,141.7722557524285,10774.691437184565,2013
M Manhas,death,244,185,131.8918918918919,144.79021397081084,26786.189584600004,2014
M Markande,death,48,41,117.07317073170731,150.08593774961068,6153.523447734038,2023
M Morkel,death,112,80,140.0,152.07375021421134,12165.900017136908,2016
M Muralitharan,death,20,29,68.96551724137932,145.6262558433398,4223.161419456855,2012
M Prasidh Krishna,death,9,24,37.5,143.92822515483158,3454.277403715958,2022
M Rawat,death,40,45,88.88888888888889,144.2511721204505,6491.302745420272,2013
M Shahrukh Khan,death,398,239,166.52719665271968,162.2587126933367,38779.83233370747,2026
M Theekshana,death,15,22,68.18181818181817,148.0197295341388,3256.434049751054,2025
M Vijay,death,125,71,176.05633802816902,162.1063207101809,11509.548770422845,2016
M Vohra,death,62,27,229.62962962962962,165.85712301309962,4478.14232135369,2017
MA Agarwal,death,252,122,206.55737704918033,176.0892154855146,21482.88428923278,2025
MA Starc,death,74,84,88.09523809523809,136.2734097093481,11446.96641558524,2025
MC Henriques,death,335,202,165.84158415841583,161.51204359926479,32625.432807051486,2021
MD Choudhary,death,107,69,155.07246376811594,156.51621707919742,10799.618978464621,2026
MEK Hussey,death,261,136,191.91176470588235,171.36036649216956,23305.009842935062,2015
MF Maharoof,death,135,89,151.68539325842696,155.3531032003807,13826.426184833883,2010
MG Johnson,death,156,143,109.09090909090908,136.7463944050536,19554.734399922665,2018
MJ McClenaghan,death,55,49,112.24489795918366,148.03393979060704,7253.663049739745,2019
MJ Santner,death,94,69,136.23188405797103,151.591974654955,10459.846251191895,2026
MK Lomror,death,230,142,161.9718309859155,159.11062702940094,22593.709038174933,2024
MK Pandey,death,703,466,150.85836909871244,152.67818654902894,71148.03493184749,2025
MK Tiwary,death,592,409,144.74327628361857,148.70907501474855,60822.011681032156,2018
ML Hayden,death,92,49,187.75510204081633,163.19787421683657,7996.695836624992,2009
MM Ali,death,277,156,177.56410256410254,166.15464760372686,25920.12502618139,2025
MM Patel,death,39,38,102.63157894736842,148.15571377213786,5629.917123341239,2017
MM Sharma,death,89,89,100.0,139.15592010178915,12384.876889059235,2025
MN van Wyk,death,66,43,153.48837209302326,156.3877365920509,6724.672673458189,2009
MP Stoinis,death,956,521,183.4932821497121,176.2853090906538,91844.64603623064,2026
MR Marsh,death,214,138,155.07246376811594,156.21706098771207,21557.954416304266,2026
MS Bisla,death,52,33,157.57575757575756,157.10649696889524,5184.514399973543,2013
MS Dhoni,death,3442,1965,175.16539440203562,173.52790801338338,340982.33924629836,2025
MS Gony,death,88,53,166.03773584905662,158.9527472133392,8424.495602306977,2013
MV Boucher,death,228,145,157.24137931034483,157.11847443796506,22782.178793504932,2011
Mandeep Singh,death,410,274,149.63503649635038,152.70848893157384,41842.12596725123,2020
Misbah-ul-Haq,death,42,20,210.0,161.95479678561915,3239.095935712383,2008
Mohammad Nabi,death,123,86,143.0232558139535,152.74121462244884,13135.7444575306,2024
Mohammed Shami,death,99,95,104.21052631578947,139.72510796175212,13273.885256366451,2026
Mohammed Siraj,death,112,124,90.32258064516128,131.09806052949253,16256.159505657073,2026
Mohsin Khan,death,24,25,96.0,150.0921877677642,3752.3046941941047,2026
Mustafizur Rahman,death,13,24,54.166666666666664,145.75470917309644,3498.1130201543147,2025
N Pooran,death,833,476,175.0,169.77687229345472,80813.79121168444,2025
N Rana,death,439,241,182.1576763485477,170.91807639657827,41191.25641157536,2026
N Wadhera,death,154,90,171.11111111111111,161.47467125932673,14532.720413339406,2026
NK Patel,death,37,22,168.1818181818182,158.15797838206507,3479.4755244054313,2008
NLTC Perera,death,265,174,152.29885057471265,154.79751032224425,26934.7667960705,2016
NM Coulter-Nile,death,73,56,130.35714285714286,151.07681796377736,8460.301805971532,2022
NS Naik,death,13,22,59.09090909090909,147.0980705479637,3236.157552055201,2020
NV Ojha,death,404,292,138.35616438356163,145.83219981295304,42583.00234538229,2018
Naman Dhir,death,262,134,195.5223880597015,172.70602221552622,23142.606976880514,2026
Navdeep Saini,death,28,27,103.7037037037037,150.54180769778432,4064.6288078401767,2022
Nithish Kumar Reddy,death,168,88,190.9090909090909,167.5628314802407,14745.529170261181,2026
Noor Ahmad,death,28,41,68.29268292682927,141.61136147842424,5806.065820615394,2026
OA Shah,death,269,171,157.30994152046785,157.1592385489293,26874.22979186691,2013
OF Smith,death,48,35,137.14285714285714,154.0012230822092,5390.042807877322,2022
P Dogra,death,73,62,117.74193548387098,147.54973271948683,9148.083428608183,2013
P Kumar,death,292,259,112.74131274131274,131.76273416059058,34126.54814759296,2017
P Negi,death,256,181,141.43646408839777,149.52202475773439,27063.486481149925,2019
P Simran Singh,death,79,44,179.54545454545453,161.17272514187496,7091.599906242498,2026
PA Patel,death,95,71,133.80281690140845,150.8281252214591,10708.796890723595,2019
PC Valthaty,death,46,22,209.0909090909091,162.30544381985308,3570.7197640367676,2011
PD Collingwood,death,81,45,180.0,161.33450545378383,7260.052745420273,2010
PHKD Mendis,death,25,24,104.16666666666667,151.23416122789095,3629.619869469383,2025
PJ Cummins,death,446,269,165.7992565055762,162.11267523471577,43608.30963813854,2025
PJ Sangwan,death,22,35,62.857142857142854,142.69687525612224,4994.390633964278,2022
PK Garg,death,61,38,160.5263157894737,157.59777385797474,5988.71540660304,2023
PP Chawla,death,452,371,121.83288409703503,133.95809418535006,49698.452942764874,2024
PP Ojha,death,16,42,38.095238095238095,135.95055404602584,5709.923269933085,2014
