bowler,phase,runs,balls,wickets,economy,bowling_sr,econ_bayes,impact_score,last_year
Mohammed Siraj,powerplay,1801,1344,53,8.040178571428571,25.358490566037737,7.97854336030573,1443.4840396178136,2026
Mohsin Khan,powerplay,384,300,15,7.68,20.0,7.6302590535566015,120.90022023171102,2026
Mujeeb Ur Rahman,powerplay,167,140,5,7.157142857142857,28.0,7.387994720926918,13.87385939917673,2025
Mukesh Choudhary,powerplay,394,270,15,8.755555555555556,18.0,8.251566089269932,111.79695951288433,2026
Mukesh Kumar,powerplay,545,354,14,9.23728813559322,25.285714285714285,8.63930461113027,93.01674569556195,2026
Mustafizur Rahman,powerplay,546,462,17,7.090909090909092,27.176470588235293,7.228277369117989,163.92564085356676,2025
N Burger,powerplay,295,180,9,9.833333333333332,20.0,8.647941950694713,38.40220041871598,2026
N Rana,powerplay,62,37,0,10.054054054054054,999.0,7.952492377200508,0.0,2026
N Thushara,powerplay,140,96,7,8.75,13.714285714285714,7.948378802441641,25.275594557507258,2025
NT Ellis,powerplay,120,102,4,7.0588235294117645,25.5,7.3837650892610025,8.88435631510123,2025
Navdeep Saini,powerplay,400,288,9,8.333333333333332,32.0,8.018588471036269,41.41626686536784,2026
Nithish Kumar Reddy,powerplay,102,60,2,10.2,30.0,8.176385221609873,2.005776337036497,2026
Noor Ahmad,powerplay,94,60,2,9.4,30.0,7.988149927492227,2.053041085715896,2026
PJ Cummins,powerplay,1047,732,29,8.581967213114755,25.24137931034483,8.365672310151584,412.1724916018759,2026
PP Hinge,powerplay,93,42,4,13.285714285714286,10.5,8.569528402997966,7.65503034881715,2026
PVD Chameera,powerplay,311,204,7,9.147058823529411,29.142857142857142,8.368366495013829,24.00707475224745,2026
Prince Yadav,powerplay,123,97,6,7.608247422680412,16.166666666666668,7.571843258597663,19.493271976067835,2026
R Ashwin,powerplay,1455,1252,52,6.972843450479233,24.076923076923077,7.051125246379073,1572.2880551147691,2025
RA Jadeja,powerplay,195,144,6,8.125,24.0,7.796395963157869,18.93182448627401,2025
RJ Gleeson,powerplay,38,24,1,9.5,24.0,7.76702388817588,0.5278727166323808,2025
RJW Topley,powerplay,90,60,2,9.0,30.0,7.894032280433403,2.0775187404097615,2025
Rashid Khan,powerplay,471,361,16,7.828254847645429,22.5625,7.731975236529708,135.74797744322382,2026
Rasikh Salam,powerplay,154,102,2,9.058823529411764,51.0,8.07063377612969,2.0320585043154686,2026
Ravi Bishnoi,powerplay,193,138,6,8.391304347826086,23.0,7.900835530061615,18.68156847948573,2026
SH Johnson,powerplay,141,84,1,10.071428571428571,84.0,8.311749933729454,0.4932775928883539,2025
SM Curran,powerplay,776,570,12,8.16842105263158,47.5,8.011736250340546,73.69189168888386,2025
SN Thakur,powerplay,1105,718,30,9.233983286908078,23.933333333333334,8.87511306846716,415.7693509404842,2026
SP Narine,powerplay,1099,975,31,6.763076923076923,31.451612903225808,6.894853189325229,571.4552423103299,2026
Sakib Hussain,powerplay,54,36,1,9.0,36.0,7.779126543335575,0.5270514597185072,2026
Sandeep Sharma,powerplay,2013,1732,68,6.973441108545034,25.470588235294116,7.032163067727305,2695.9556849592627,2026
Shahbaz Ahmed,powerplay,243,150,2,9.72,75.0,8.49558907684208,1.9304135183167417,2025
Simarjeet Singh,powerplay,205,126,5,9.761904761904763,25.2,8.420492933054572,12.172684047704276,2025
T Natarajan,powerplay,536,390,17,8.246153846153845,22.941176470588236,8.015347404291482,147.8289012607981,2026
TA Boult,powerplay,2017,1660,73,7.290361445783132,22.73972602739726,7.318047564156614,2985.6187471388794,2026
TU Deshpande,powerplay,734,504,18,8.738095238095237,28.0,8.40769417955725,157.99813499757354,2026
V Nigam,powerplay,80,54,4,8.88888888888889,13.5,7.843286070323365,8.363841304757537,2026
VG Arora,powerplay,752,522,22,8.64367816091954,23.727272727272727,8.347249974212716,237.7309899823818,2026
Vijaykumar Vyshak,powerplay,145,78,3,11.153846153846153,26.0,8.58233784436087,4.299527782426509,2026
W O'Rourke,powerplay,51,24,2,12.75,12.0,8.123188271737524,2.018911719313394,2025
WG Jacks,powerplay,98,48,2,12.25,24.0,8.481391899220236,1.9336448775003292,2026
Washington Sundar,powerplay,535,384,14,8.359375,27.428571428571427,8.08804530485409,99.35651566117149,2025
XC Bartlett,powerplay,222,124,5,10.741935483870968,24.8,8.79303520849692,11.65695321007606,2026
YS Chahal,powerplay,529,404,18,7.856435643564357,22.444444444444443,7.757893541753786,171.23204808759152,2025
Yash Dayal,powerplay,677,438,17,9.273972602739727,25.764705882352942,8.744041439985022,135.5094218311515,2025
Yash Thakur,powerplay,178,108,7,9.88888888888889,15.428571428571429,8.386066770661774,23.95640357918904,2025
Yudhvir Singh,powerplay,139,84,6,9.928571428571427,14.0,8.268739181041282,17.85036349174249,2025
