bowler,phase,runs,balls,wickets,economy,bowling_sr,econ_bayes,impact_score,last_year
SJ Srivastava,death,82,54,6,9.11111111111111,9.0,9.364329211292178,15.761940515932881,2011
SK Raina,death,186,129,8,8.651162790697674,16.125,9.122586338307878,28.763772714117366,2014
SK Trivedi,death,450,306,25,8.823529411764707,12.24,9.06131332058234,282.7956510652163,2013
SK Warne,death,318,216,17,8.833333333333334,12.705882352941176,9.118535215600371,129.94411624060228,2011
SL Malinga,death,1452,1117,120,7.79946284691137,9.308333333333334,8.042467967691884,7341.030170984187,2019
SM Curran,death,715,389,36,11.02827763496144,10.805555555555555,10.49609242056807,506.2455423494086,2025
SM Harwood,death,44,24,1,11.0,24.0,9.606018144345901,0.42681576678191663,2009
SMSM Senanayake,death,34,24,2,8.5,12.0,9.332045541606174,1.757385337103416,2013
SN Thakur,death,1240,731,57,10.177838577291382,12.824561403508772,10.021293708004052,1329.2595136055675,2026
SP Narine,death,1315,1087,91,7.258509659613615,11.945054945054945,7.5894835987611176,4473.57182582781,2026
SR Watson,death,895,577,54,9.306759098786829,10.685185185185185,9.339012919186208,1280.1781198351523,2018
ST Jayasuriya,death,86,60,4,8.6,15.0,9.238109700438244,7.1010198111078955,2010
STR Binny,death,96,60,3,9.600000000000001,20.0,9.473403818085304,3.895115283648698,2014
SW Tait,death,194,150,15,7.76,10.0,8.706428909019571,105.95618589894192,2013
Sakib Hussain,death,71,54,6,7.888888888888889,9.0,9.099268970328323,16.221083306945506,2026
Sandeep Sharma,death,1324,783,71,10.145593869731801,11.028169014084508,10.003801609009972,2066.0245782348557,2026
Shahbaz Ahmed,death,64,45,6,8.533333333333333,7.5,9.265491556715634,15.930077653896237,2026
Shahid Afridi,death,58,36,2,9.666666666666668,18.0,9.470640578405854,1.7316674478592162,2008
Shakib Al Hasan,death,301,194,14,9.309278350515465,13.857142857142858,9.372025639104761,85.74453708779672,2019
Shivam Mavi,death,320,187,15,10.267379679144385,12.466666666666667,9.842193648198304,93.72910480875078,2022
Shivam Sharma,death,38,24,0,9.5,999.0,9.441634582702065,0.0,2015
Simarjeet Singh,death,60,36,2,10.0,18.0,9.522588630353907,1.7222207780480898,2025
Sohail Tanvir,death,118,103,18,6.87378640776699,5.722222222222222,8.5493891731938,155.37952163473088,2008
Suyash Sharma,death,143,95,4,9.031578947368422,23.75,9.302475771075008,7.051886144543988,2026
T Natarajan,death,1048,631,53,9.965134706814581,11.90566037735849,9.8398522682951,1170.4342388460952,2026
T Thushara,death,73,45,6,9.733333333333334,7.5,9.490491556715634,15.552408336063026,2010
TA Boult,death,1294,746,63,10.407506702412869,11.841269841269842,10.205863946452446,1594.4656998544892,2026
TG Southee,death,600,348,25,10.344827586206897,13.92,10.017896820647794,255.79221326361187,2023
TK Curran,death,223,111,7,12.054054054054053,15.857142857142858,10.384699260169123,19.34576967197875,2021
TL Suman,death,46,24,2,11.5,12.0,9.660812664893847,1.6975797553341962,2010
TM Dilshan,death,31,25,1,7.4399999999999995,25.0,9.207808970962509,0.4452742246206069,2011
TS Mills,death,107,65,4,9.876923076923077,16.25,9.545069129275971,6.872658449250644,2022
TU Deshpande,death,658,353,32,11.18413597733711,11.03125,10.561529148926555,397.5181946476674,2026
UT Yadav,death,1239,732,65,10.155737704918034,11.261538461538462,10.004010759020229,1731.5555148099947,2024
Umar Gul,death,78,45,5,10.4,9.0,9.615491556715634,10.65988144188137,2008
Umran Malik,death,125,73,7,10.273972602739725,10.428571428571429,9.66312676720803,20.790371982054218,2023
V Kohli,death,54,26,1,12.461538461538463,26.0,9.790579066116527,0.41876991874662234,2012
V Nigam,death,34,36,2,5.666666666666666,18.0,8.84726395502923,1.853680424067987,2025
V Pratap Singh,death,70,42,6,10.0,7.0,9.534674994142415,15.480338877903797,2012
V Shankar,death,59,45,2,7.866666666666667,22.5,9.140491556715634,1.7942142277841406,2022
VG Arora,death,360,218,23,9.908256880733946,9.478260869565217,9.684547151602306,223.9547152848707,2026
VR Aaron,death,379,208,15,10.932692307692307,13.866666666666667,10.207736907225192,90.37262699698307,2022
VR Iyer,death,53,33,2,9.636363636363637,16.5,9.463675322858563,1.7329419533642956,2022
VRV Singh,death,153,108,11,8.5,9.818181818181818,9.101379450863869,54.508220723937846,2010
VY Mahesh,death,74,63,11,7.0476190476190474,5.7272727272727275,8.85162005275873,56.04623752974842,2012
Vijaykumar Vyshak,death,231,117,13,11.846153846153847,9.0,10.338839659012027,67.01912621268112,2026
