bowler,phase,runs,balls,wickets,economy,bowling_sr,econ_bayes,impact_score,last_year
R Parag,middle,454,294,10,9.26530612244898,29.4,8.590437764163294,47.727486218501674,2026
R Sai Kishore,middle,514,366,23,8.426229508196721,15.91304347826087,8.12963291742576,266.78941374474505,2026
R Shepherd,middle,425,228,9,11.18421052631579,25.333333333333332,9.519442238004375,34.88649772716309,2026
RA Jadeja,middle,4381,3540,148,7.425423728813559,23.91891891891892,7.43312558679407,12081.916140304817,2026
RD Chahar,middle,1857,1452,58,7.6735537190082646,25.03448275862069,7.661641813403675,1800.1885673995953,2026
RJW Topley,middle,59,30,1,11.799999999999999,30.0,8.136551407448225,0.5038989855391126,2025
Raghu Sharma,middle,91,66,1,8.272727272727273,66.0,7.749900638604792,0.5290390407815756,2026
Ramandeep Singh,middle,34,24,2,8.5,12.0,7.674539117241328,2.1369361403287894,2026
Rashid Khan,middle,2889,2516,124,6.889507154213037,20.29032258064516,6.938666199437791,9085.550189041804,2026
Rasikh Salam,middle,291,174,10,10.034482758620689,17.4,8.73366955738713,46.94475756221083,2026
Ravi Bishnoi,middle,1840,1386,60,7.965367965367966,23.1,7.91696651908656,1864.3504383169945,2026
S Dube,middle,202,114,3,10.631578947368421,38.0,8.701372384064243,4.240710358239457,2026
SH Johnson,middle,97,54,3,10.777777777777779,18.0,8.267968139260445,4.4630070385467935,2026
SM Curran,middle,504,294,15,10.285714285714285,19.6,9.20393469667863,100.22887280294341,2025
SN Thakur,middle,963,717,37,8.05857740585774,19.37837837837838,7.954741301179661,705.6043417989753,2026
SP Narine,middle,2787,2538,102,6.588652482269504,24.88235294117647,6.658881839252049,6405.940371032522,2026
Sakib Hussain,middle,122,90,5,8.133333333333333,18.0,7.749909005880178,13.225961739967397,2026
Sandeep Sharma,middle,826,630,29,7.866666666666667,21.724137931034484,7.797241292940425,442.220507286582,2026
Shahbaz Ahmed,middle,729,453,18,9.655629139072847,25.166666666666668,9.028895164623226,147.1276358601328,2026
Shashank Singh,middle,79,60,4,7.9,15.0,7.64989830068961,8.575277398666383,2026
Shivang Kumar,middle,297,198,8,9.0,24.75,8.291918744722267,31.645269096132335,2026
Simarjeet Singh,middle,124,78,5,9.538461538461538,15.6,8.134520390754032,12.600619959906291,2025
Suyash Sharma,middle,991,672,21,8.848214285714285,32.0,8.561388773559226,211.19237168438016,2026
T Natarajan,middle,743,532,13,8.379699248120302,40.92307692307692,8.163306831741199,84.87981822584601,2026
