bowler,phase,runs,balls,wickets,economy,bowling_sr,econ_bayes,impact_score,last_year
Basil Thampi,powerplay,252,162,2,9.333333333333334,81.0,8.36128356165411,1.961421339088707,2022
Bipul Sharma,powerplay,76,74,4,6.162162162162161,18.5,7.170922793719397,9.148055541394937,2017
Brijesh Sharma,powerplay,36,24,0,9.0,999.0,7.712229367627935,0.0,2026
C Green,powerplay,204,132,3,9.272727272727273,44.0,8.247639851714121,4.474007190351674,2026
C Sakariya,powerplay,218,198,6,6.6060606060606055,33.0,7.076280487304116,20.85841569802328,2025
CH Gayle,powerplay,152,120,3,7.6,40.0,7.571359465112755,4.873629388490601,2016
CH Morris,powerplay,851,684,25,7.464912280701755,27.36,7.484616873163275,342.368893882606,2021
CJ Anderson,powerplay,117,71,2,9.887323943661972,35.5,8.176609892896682,2.0057212236879827,2017
CJ Jordan,powerplay,233,150,6,9.32,25.0,8.321676033363818,17.736811599998873,2023
CK Langeveldt,powerplay,93,84,6,6.642857142857143,14.0,7.2794918692133255,20.276140512531505,2011
CR Brathwaite,powerplay,30,24,1,7.5,24.0,7.5478458059841,0.5432013458395545,2019
CR Woakes,powerplay,242,162,6,8.962962962962962,27.0,8.193216334763354,18.014903301618137,2021
CRD Fernando,powerplay,86,78,7,6.615384615384616,11.142857142857142,7.285634547657574,27.574811594769315,2010
CV Varun,powerplay,503,384,15,7.859375,25.6,7.756439087237509,118.93344221807749,2026
D Wiese,powerplay,83,72,6,6.916666666666666,12.0,7.381940941986958,19.994741377634387,2023
DE Bollinger,powerplay,383,324,11,7.092592592592592,29.454545454545453,7.265854010617567,68.27827799389456,2012
DJ Bravo,powerplay,289,228,13,7.605263157894737,17.53846153846154,7.5815088215378665,91.39341736721069,2022
DJ Hooda,powerplay,94,72,2,7.833333333333334,36.0,7.629131953222913,2.1496547838672324,2021
DJ Hussey,powerplay,57,36,0,9.5,999.0,7.857048621257653,0.0,2013
DJ Muthuswami,powerplay,99,72,3,8.25,24.0,7.74149150378471,4.766523347853587,2015
DJ Willey,powerplay,154,138,3,6.695652173913044,46.0,7.198132827358913,5.126329408614022,2023
DJG Sammy,powerplay,33,24,1,8.25,24.0,7.630037586806018,0.5373499086151011,2014
DL Chahar,powerplay,2007,1533,69,7.855185909980431,22.217391304347824,7.821167958050069,2495.8037092028703,2026
DL Vettori,powerplay,97,90,2,6.466666666666667,45.0,7.210449935124624,2.2744766481367362,2012
DNT Zoysa,powerplay,44,36,0,7.333333333333334,999.0,7.519386283595315,0.0,2008
DP Nannes,powerplay,343,342,17,6.017543859649123,20.11764705882353,6.5753784571890455,180.20255529239012,2013
DP Vijaykumar,powerplay,124,102,3,7.2941176470588225,34.0,7.464573170069083,4.943350297369848,2008
DR Sams,powerplay,202,180,8,6.733333333333333,22.5,7.159941950694714,36.64834181714837,2022
DR Smith,powerplay,121,66,5,11.0,13.2,8.425203952147577,12.165877595624593,2017
DS Kulkarni,powerplay,1256,1018,46,7.402750491159136,22.130434782608695,7.4270224497201305,1168.112801426488,2021
DS Rathi,powerplay,157,120,3,7.85,40.0,7.66659756035085,4.81308686278706,2026
DT Christian,powerplay,241,180,8,8.033333333333333,22.5,7.783941950694714,33.71042611341428,2021
DW Steyn,powerplay,1154,1140,36,6.0736842105263165,31.666666666666668,6.289871334464808,844.7867559523175,2020
E Malinga,powerplay,164,96,4,10.25,24.0,8.443224163266384,7.769543805955482,2026
FH Edwards,powerplay,57,78,4,4.384615384615384,19.5,6.6482719102949375,9.867225782149122,2009
Fazalhaq Farooqi,powerplay,191,132,3,8.681818181818182,44.0,8.009107741622378,4.60725478922391,2025
G Coetzee,powerplay,109,66,3,9.90909090909091,22.0,8.149341883182062,4.527972998181751,2024
GB Hogg,powerplay,53,48,5,6.625,9.6,7.370280788109127,13.907204209284508,2016
GC Viljoen,powerplay,54,36,3,9.0,12.0,7.779126543335575,4.743463137466565,2019
GD McGrath,powerplay,214,222,9,5.783783783783784,24.666666666666668,6.611458588754239,50.230973323327696,2008
GH Vihari,powerplay,34,24,1,8.5,24.0,7.6574348470799904,0.5354273437355399,2013
GHS Garton,powerplay,101,60,1,10.1,60.0,8.152855809845168,0.5028912684864304,2021
GJ Maxwell,powerplay,365,258,12,8.488372093023257,21.5,8.08604466117112,73.01468452617858,2025
HF Gurney,powerplay,62,66,2,5.636363636363637,33.0,7.068882113067118,2.320027373166109,2019
